Date|Book|Security|DayPnL|YTDPnL|MTDPnL|WTDPnL
20190417|FTRUS|AVDR US|-1608.425|959.745|959.745|959.745
20190417|FTRUS|AVXL US|0|-3220.07940000001|-3220.07940000001|-3220.07940000001
20190417|FTRUS|AXSM US|-1895.432|6539.888|6539.888|6539.888
20190417|FTRUS|BAND US|-2090.01999999997|2549.80349999991|2549.80349999991|2549.80349999991
20190417|FTRUS|BDSI US|-3815.82|-7339.03440000001|-7339.03440000001|-7339.03440000001
20190417|FTRUS|BRID US|-126.719999999999|344.435199999999|344.435199999999|344.435199999999
20190417|FTRUS|BTAI US|-694.260000000003|-1311.0962|-1311.0962|-1311.0962
20190417|FTRUS|CATS US|-3095.4864|-5047.4064|-5047.4064|-5047.4064
20190417|FTRUS|CBAN US|0|-78.9874|-78.9874|-78.9874
20190417|FTRUS|CERC US|-715.589999999999|-6031.58500000001|-6031.58500000001|-6031.58500000001
20190417|FTRUS|CFMS US|-124.079999999997|-3871.565|-3871.565|-3871.565
20190417|FTRUS|CHAP US|2012.5|-228.36|-228.36|-228.36
20190417|FTRUS|CLCT US|-367.788599999997|-586.738600000007|-586.738600000007|-586.738600000007
20190417|FTRUS|CRK US|-1729.14000000001|-2787.42960000001|-2787.42960000001|-2787.42960000001
20190417|FTRUS|CRMD US|298.020000000002|-8756.90969999999|-8756.90969999999|-8756.90969999999
20190417|FTRUS|CTRC US|-382.564999999999|-1163.4709|-1163.4709|-1163.4709
20190417|FTRUS|CVRS US|-397.060000000009|11382.17|11382.17|11382.17
20190417|FTRUS|CZWI US|0|-3.40000000000008|-3.40000000000008|-3.40000000000008
20190417|FTRUS|DLA US|29.1940000000027|-1397.271|-1397.271|-1397.271
20190417|FTRUS|DNBF US|27.1000000000023|-415.984999999997|-415.984999999997|-415.984999999997
20190417|FTRUS|EARN US|0|-223.595000000002|-223.595000000002|-223.595000000002
20190417|FTRUS|EGY US|0|614.624400000011|614.624400000011|614.624400000011
20190417|FTRUS|EIGR US|-2652.8|-6105.42720000001|-6105.42720000001|-6105.42720000001
20190417|FTRUS|EKSO US|-2497.2422|-3363.7572|-3363.7572|-3363.7572
20190417|FTRUS|ETON US|1.50000000000001|-826.404999999998|-826.404999999998|-826.404999999998
